what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1387130003541
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1387130003621
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1387130004372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130005412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130010664
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1387130012287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1387130029482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130037436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130037573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387130040067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387130041115
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1387130042614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387130043581
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1387130044465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387130044932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130047639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130065245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130068232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130123850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130126030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130156452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130159009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130214086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130216156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130232267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130233332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130246137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130247503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130689896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130690036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130692080
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130692298
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1387130692563
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1387130692782
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1387130692782
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1387130692782
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1387130692782
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1387130692782
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1387130692782
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1387130692782
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1387130692782
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1387130692782
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1387130692782
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1387130692797
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1387130692797
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1387130692797
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1387130692797
